"IDENTIFIER"	"VALUE"
"Solyc12g094380"	1.95865385388406
"Solyc05g015330"	1.95771690897636
"Solyc12g009460"	1.9559412181361
"Solyc01g011470"	1.95244207289449
"Solyc10g005410"	1.95116466460028
"Solyc09g092460"	1.94819315043401
"Solyc02g062990"	1.94638165310893
"Solyc04g056420"	1.94422014115632
"Solyc09g062970"	1.94114461889395
"Solyc09g075300"	1.93881121259527
"Solyc03g120950"	1.93825740428774
"Solyc01g009890"	1.9313440442456
"Solyc02g067380"	1.92923221661464
"Solyc12g056540"	1.92916708909249
"Solyc02g063470"	1.92656746059595
"Solyc01g099990"	1.92520958586955
"Solyc03g044725"	1.92504134740756
"Solyc01g111950"	1.91809851483074
"Solyc04g071960"	1.91350144210622
"Solyc01g079200"	1.91347780473651
"Solyc04g050050"	1.91257176669284
"Solyc06g049050"	1.91098709949886
"Solyc08g006390"	1.9064198389257
"Solyc09g005830"	1.90618540931376
"Solyc05g046020"	1.90605809119281
"Solyc03g096460"	1.89289955164239
"Solyc01g109580"	1.89073284515891
"Solyc08g079840"	1.88719356897283
"Solyc10g008210"	1.88505206080564
"Solyc10g050220"	1.88414395028118
"Solyc06g065530"	1.88356508709167
"Solyc02g093590"	1.88299133999847
"Solyc04g074920"	1.88293911775281
"Solyc12g088530"	1.88075993345541
"Solyc11g020630"	1.8799823274727
"Solyc02g063547"	1.87624354194094
"Solyc11g072860"	1.87011949161345
"Solyc05g046030"	1.86910576944474
"Solyc10g009150"	1.86487732296313
"Solyc03g093360"	1.86342331312076
"Solyc01g099650"	1.86341552541776
"Solyc07g005470"	1.86004819059375
"Solyc04g053010"	1.84912903565361
"Solyc08g075640"	1.84738189539002
"Solyc04g079890"	1.84500386908555
"Solyc03g114530"	1.84350387025598
"Solyc02g071930"	1.84001572648192
"Solyc07g007920"	1.83733471387271
"Solyc11g006490"	1.83730695278058
"Solyc06g075130"	1.83719303673365
"Solyc10g008120"	1.83693306121014
"Solyc01g110600"	1.83692257494613
"Solyc12g096240"	1.82862404882531
"Solyc03g083730"	1.82713998898102
"Solyc02g071710"	1.82454448900389
"Solyc08g006330"	1.82250234253068
"Solyc01g087690"	1.82078029454328
"Solyc06g072240"	1.81783492128319
"Solyc04g150138"	1.81643368487127
"Solyc03g098190"	1.81577791633801
"Solyc04g081270"	1.81250635139525
"Solyc02g093160"	1.81061019451683
"Solyc09g089710"	1.80844732178357
"Solyc07g052680"	1.80640322155379
"Solyc08g074620"	1.80418005248857
"Solyc07g042990"	1.80091636930289
"Solyc12g088520"	1.80050434910106
"Solyc02g088830"	1.7994457496363
"Solyc11g066430"	1.79527912142546
"Solyc12g049550"	1.79350943898742
"Solyc03g095970"	1.78880579116916
"Solyc02g080220"	1.78840416058212
"Solyc04g015560"	1.78607098449847
"Solyc04g082270"	1.77843210739698
"Solyc01g068080"	1.77575361957409
"Solyc06g007240"	1.77007390113964
"Solyc08g082200"	1.76955980683327
"Solyc01g104200"	1.7669689881125
"Solyc05g010080"	1.76652525255684
"Solyc07g045350"	1.76641848150619
"Solyc03g110980"	1.76184399494583
"Solyc12g057080"	1.76176683884847
"Solyc04g074640"	1.75846434273103
"Solyc02g080450"	1.75605728222157
"Solyc01g094370"	1.7555962882103
"Solyc12g100030"	1.75459957106969
"Solyc01g074000"	1.75397964671955
"Solyc12g035430"	1.75387530777275
"Solyc01g096220"	1.7501951193097
"Solyc02g091700"	1.74813706916897
"Solyc12g008490"	1.74457112181299
"Solyc07g043630"	1.74421958284953
"Solyc03g098780"	1.74404696884216
"Solyc03g026000"	1.74124559265744
"Solyc02g090290"	1.74032915389318
"Solyc02g085725"	1.7401638718684
"Solyc02g094400"	1.73397563898213
"Solyc01g081540"	1.73300766753562
"Solyc09g008320"	1.73279494729885
"Solyc06g083070"	1.73146876708588
"Solyc09g025230"	1.72751048045925
"Solyc01g097970"	1.72704054941673
"Solyc09g092510"	1.72599102523971
"Solyc02g091250"	1.72361532224802
"Solyc01g096740"	1.72223012581944
"Solyc04g079130"	1.72001782092635
"Solyc10g006000"	1.71857056192845
"Solyc12g009910"	1.71811370354257
"Solyc01g087540"	1.71628518340512
"Solyc11g069590"	1.71600074473325
"Solyc11g073260"	1.71499013749249
"Solyc03g005780"	1.71479239724849
"Solyc05g010720"	1.71421866718483
"Solyc09g065880"	1.71338396313905
"Solyc04g007825"	1.70778565125211
"Solyc03g111810"	1.70443232437495
"Solyc10g008410"	1.7035835396864
"Solyc07g005900"	1.702628338306
"Solyc08g077870"	1.69836768064022
"Solyc01g111570"	1.69797380153461
"Solyc05g053320"	1.69774763267529
"Solyc04g079730"	1.69759156133515
"Solyc04g055255"	1.69393293229064
"Solyc11g012990"	1.69130309092387
