IDENTIFIER	VALUE
Solyc01g010860	0.08875291
Solyc01g010870	-0.364480095
Solyc01g010880	0.092594986
Solyc01g010910	2.161808605
Solyc01g010920	-0.176694936
Solyc01g010930	-0.228790505
Solyc01g010940	0.327095622
Solyc01g010950	-0.055588976
Solyc01g010970	-1.228662685
Solyc01g010990	-0.164439583
Solyc01g011000	-0.33728067
Solyc01g011040	0.433368195
Solyc01g011080	-0.27439926
Solyc01g011090	0.25839041
Solyc01g011100	0.120284543
Solyc01g011340	0.224605955
Solyc01g011350	0.060494935
Solyc01g011430	-0.595890502
Solyc01g011470	0.981303146
Solyc01g011510	0.974973922
Solyc01g013890	1.089684708
Solyc01g014105	-1.484965912
Solyc01g014160	-1.607603963
Solyc01g014180	-0.212882807
Solyc01g014230	-0.061215429
Solyc01g014270	-0.493907108
Solyc01g014275	2.14412415
Solyc01g014320	-1.749393353
Solyc01g014373	-1.500910524
Solyc01g014480	0.064710024
Solyc01g014490	0.261481591
Solyc01g014510	-0.607475269
Solyc01g014520	-0.628609629
Solyc01g014530	-0.672594025
Solyc01g014550	-0.21792875
Solyc01g014560	-0.572702113
Solyc01g014620	0.069971116
Solyc01g014700	-0.283024993
Solyc01g014730	0.952162583
Solyc01g014840	-0.516736361
Solyc01g014850	-0.277527698
Solyc01g014860	-0.11781622
Solyc01g014930	-0.981331934
Solyc01g014940	-2.968943312
Solyc01g014980	-0.877224138
Solyc01g014990	-0.128739106
Solyc01g015000	0.342095835
Solyc01g015020	0.235900861
Solyc01g015030	0.417637259
Solyc01g015293	-1.696747321
Solyc01g015297	0.314044
Solyc01g016410	-0.104295474
Solyc01g016470	-0.081544441
Solyc01g016630	-0.233432002
Solyc01g016720	0.206352946
Solyc01g016790	0.460603109
Solyc01g017050	-0.805028921
Solyc01g017090	0.515307267
Solyc01g017600	-0.545729065
Solyc01g018020	-0.08902995
Solyc01g020190	1.167392612
Solyc01g020240	-0.033404958
Solyc01g020320	0.079140734
Solyc01g020340	-0.536609571
Solyc01g020343	0.276005768
Solyc01g020347	0.071740504
