"Sequence_ID"	"Functional.annotation"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Solyc04g009420"	"Photosystem II oxygen evolving complex protein PsbP "	225.285304160388	-0.689706810471435	0.311566183074494	-2.2136767336734	0.026851024551829	0.276013075929355
"Solyc04g039850"	"ATP synthase subunit beta chloroplastic "	3588.92756360246	-0.68968755668741	1.63965569770608	-0.420629500237338	0.674025648635288	0.908467869498496
"Solyc00g056680"	"Lipase-like protein "	157.460644410889	-0.689659474120509	0.445411525468478	-1.54836468004534	0.121534519928349	0.510248659717529
"Solyc10g049620"	"Progesterone 5-beta-reductase "	2113.56570064816	-0.689345466725407	0.292043124618037	-2.36042354233472	0.0182540807154712	0.234933880448974
"Solyc02g091250"	"Predicted by genscan and genefinder "	87.5108965696068	-0.689316941724135	0.668499745755864	-1.03114017035973	0.302475092495266	0.704544115487215
"Solyc04g077470"	"Cellulose synthase-like C1-2 glycosyltransferase family 2 protein "	1603.50195077191	-0.689197671172487	0.564007271559243	-1.22196593187025	0.221720510517197	0.640695906896328
"Solyc05g026600"	""	459.559882378257	-0.688998582668879	0.648829361831687	-1.06191030061246	0.288276408404377	0.694467246701896
"Solyc04g005870"	"Kelch repeat-containing F-box family protein "	10.625459710357	-0.68849157858206	1.54922596237827	-0.444410044306985	0.656746152812713	0.901318171647403
"Solyc03g098070"	"C2H2L domain class transcription factor "	260.486971313426	-0.688294376852677	0.456973054653365	-1.50620341799973	0.132014962289449	0.526095828091973
"Solyc06g064480"	"Protein TAP1 "	782.46023183877	-0.688135088771699	0.492780673313662	-1.396432786506	0.162584207708507	0.569956439394758
"Solyc02g085110"	"Laccase "	11.3896722212227	-0.688055719750703	0.91673876519378	-0.7505472069846	0.452925203376953	0.80095422484211
"Solyc12g098930"	"Pyruvate dehydrogenase kinase "	1018.6323837519	-0.687917234444312	0.700006123735621	-0.982730309233873	0.325740189323134	0.719683092400832
"Solyc07g042900"	"Major facilitator family transporter "	518.887495713529	-0.687822028313415	0.573859640003489	-1.1985893071505	0.230687678010684	0.649259768944799
"Solyc09g047930"	"Unknown Protein "	120.896215226122	-0.687616174283924	0.31215655692645	-2.20279266613624	0.0276093653152072	0.279168196508468
"Solyc12g036850"	"Unknown Protein "	37.0325809606241	-0.687513787837864	0.837993917799543	-0.82042813585471	0.411972081446885	0.777208001914783
"Solyc10g074900"	"Receptor like kinase, RLK"	296.386117080713	-0.687191185136028	0.422413496875724	-1.62682108933229	0.103775101216244	0.481827900709028
"Solyc10g052500"	"Phenylcoumaran benzylic ether reductase 3 "	60.369310324308	-0.687155257808371	0.648540364849287	-1.05954123297793	0.289353361207895	0.695313420028383
"Solyc02g081000"	"Leucyl-tRNA synthetase "	66.5795076410156	-0.68692879947188	0.671429407021405	-1.02308417279373	0.306268049558904	0.706749427367522
"Solyc04g081670"	"Vacuolar processing enzyme-3 "	274.86550077348	-0.686830752615773	0.594353985563131	-1.1555920702122	0.247848053089872	0.661499850792886
"Solyc08g082760"	"Brain protein 44-like protein "	1432.92317300855	-0.686270222481409	0.758127079884384	-0.90521792545132	0.365349947231897	0.745083685623133
"Solyc01g066610"	"Fanconi anemia group I protein "	92.7116988790741	-0.686181893441955	0.347472221389235	-1.97478201479968	0.0482928909094593	0.352602327074904
"Solyc04g074730"	"Unknown Protein "	1337.34125025139	-0.686130158915561	0.428083280368409	-1.60279597541179	0.108979705679154	0.490532127848293
"Solyc11g013270"	"Os01g0841200 protein "	479.648304097061	-0.685958446788888	0.472119265423751	-1.45293466508554	0.146241895070358	0.546646472606072
"Solyc02g050190"	"Transposase "	23.7392611459779	-0.685802236322988	1.18375039478881	-0.579346996919349	0.562355060251646	0.85996008194732
"Solyc04g049090"	"MLO-like protein 17 "	4010.36488396842	-0.685509972596113	0.434326414045542	-1.57832899503145	0.114490048090754	0.500277149086676
"Solyc03g114320"	"Kinesin light chain "	2733.73366332954	-0.685449719061704	0.3421031836238	-2.00363443508749	0.0451092343258835	0.340795341604924
"Solyc02g092215"	NA	1052.21964705634	-0.685419889034889	0.588229983405206	-1.16522433125061	0.243928199199512	0.660083548279882
"Solyc04g008110"	"Histidine kinase 2 "	533.034881143699	-0.685407980843098	0.479664472887081	-1.42893213816244	0.15302373920901	0.556113072262642
"Solyc01g067905"	NA	447.087565715809	-0.685367984767413	0.46793988551154	-1.46464963981044	0.143016531301424	0.542527484429213
"Solyc03g013630"	"Glycosyltransferase "	415.143486886063	-0.684583240806489	0.2533234996359	-2.70240716629304	0.00688394049127605	0.15191911809669
"Solyc08g077060"	"Zinc finger protein LSD1 "	1814.27163302084	-0.683577926385676	0.397790483736968	-1.71843710277815	0.0857169176715509	0.445609195562728
"Solyc08g008290"	"Unknown Protein "	6341.39159308762	-0.683439898453398	0.32523806696696	-2.10135272548778	0.0356100145558683	0.310931508011092
"Solyc01g080040"	"Dual specificity protein phosphatase "	188.272490492437	-0.68315401580724	0.332570474688122	-2.05416315578792	0.039959903103382	0.325197909926656
"Solyc02g088430"	"ATP-dependent DNA helicase RecQ "	28.6939066181731	-0.682562155482512	0.603867981583096	-1.13031685119836	0.25834273644176	0.670029917532952
"Solyc02g082830"	"Phosphoserine aminotransferase "	752.192878605396	-0.682475087748288	0.425349043148541	-1.60450599041304	0.108602565093767	0.489714226085597
"Solyc09g090460"	"GTPase obg "	979.643226859644	-0.682182924970359	0.223448918618945	-3.05297035755053	0.00226588319652021	0.092945891571159
"Solyc12g089310"	"Tubulin beta-1 chain "	16.8692079706108	-0.682142880971861	1.01725775887453	-0.670570339740212	0.502494282754362	0.829932225753958
"Solyc01g007920"	"Isochorismatase family protein "	655.069443112309	-0.682084450593218	0.327115314859322	-2.08514985269507	0.0370557002217758	0.314501306143494
"Solyc03g097470"	"3-oxoacyl- "	1684.10512366914	-0.681997196181446	0.381743947915223	-1.78653047391049	0.0740134076113997	0.422103320327491
"Solyc02g065220"	"Cytochrome P450"	2406.60071959128	-0.681857531213249	0.766123195023429	-0.890010295527466	0.373460357866745	0.750786131618625
"Solyc10g009170"	"Lysine ketoglutarate reductase trans-splicing related 1 "	18.1604210412677	-0.681745052311454	0.740487274398682	-0.920670855370296	0.357222296779827	0.739999550700842
"Solyc03g123700"	"NUMOD3 motif family protein expressed "	802.041896270012	-0.681302345666051	0.276231289698939	-2.46641988461407	0.0136471253551291	0.204117469597314
