Geneid	Elite_2017	Elite_2020	PI127826_2020	PI127826_2017	F2-73	F2-127	F2-28_concat	F2-151	F2-411	F2-445	F1
Solyc00g013320.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g013330.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g013770.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g014170.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g014180.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g014190.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g014290.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g014390.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g014790.2.1	0	10	69	10	26	24	65	18	57	63	2
Solyc00g014800.1.1	2	15	6	0	5	10	27	9	2	9	0
Solyc00g014810.1.1	0	2	5	0	3	10	3	4	6	7	5
Solyc00g014820.2.1	0	4	9	0	12	18	21	9	26	43	0
Solyc00g014830.2.1	61	60	302	79	16	37	401	54	81	329	45
Solyc00g014840.1.1	16	15	89	18	13	50	51	70	79	409	12
Solyc00g014850.1.1	11	13	63	11	22	49	40	51	53	369	4
Solyc00g014860.1.1	0	2	12	6	2	1	14	5	1	15	0
Solyc00g014960.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g014970.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g014980.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g014990.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g015000.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g015600.1.1	0	0	1	0	0	0	8	0	0	0	0
Solyc00g015610.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g015720.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g015730.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g015740.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g015750.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g015760.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g015770.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g016470.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g016480.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g016490.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g016590.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g016790.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g016890.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g016900.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g016910.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g017210.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g017220.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g017230.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g017530.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g017540.1.1	0	0	1	0	0	0	0	0	0	0	0
Solyc00g017550.1.1	0	0	1	0	0	0	0	0	0	0	0
Solyc00g017750.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g017760.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g017860.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g017870.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g017880.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g017890.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g017900.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g017910.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g017920.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g017930.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g018760.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g018770.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g018970.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g019610.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g019620.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g019630.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g019730.1.1	48	34	104	38	7	29	130	2	32	54	15
Solyc00g019740.1.1	138	68	250	197	14	60	240	18	126	260	62
Solyc00g019750.1.1	28	15	34	11	18	84	92	31	51	189	10
Solyc00g019950.1.1	58	34	228	35	36	64	300	22	71	352	13
Solyc00g019960.1.1	10	14	51	9	14	22	110	2	25	115	3
Solyc00g019970.2.1	26	22	168	9	31	77	178	36	107	507	15
Solyc00g019980.2.1	3	121	792	75	146	310	852	157	500	2122	10
Solyc00g019990.1.1	2	22	187	12	57	95	134	58	184	662	0
Solyc00g020000.1.1	6	78	217	0	87	173	292	91	198	714	2
Solyc00g020010.1.1	13	24	151	14	73	154	114	88	181	562	18
Solyc00g020020.2.1	12	34	402	58	116	273	290	122	334	1100	14
Solyc00g020030.1.1	3	6	24	1	13	32	12	12	20	134	0
Solyc00g020040.1.1	5	21	402	70	17	29	178	12	45	46	6
Solyc00g020440.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g020540.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g020840.2.1	2	0	1	0	0	0	2	0	0	4	0
Solyc00g020940.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g020950.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g020960.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g020970.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g020980.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g020990.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g021490.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g021500.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g021510.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g021520.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g021530.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g021630.1.1	71	42	159	132	21	10	245	3	30	67	45
Solyc00g021640.2.1	36	103	326	50	100	124	328	97	429	828	17
Solyc00g021650.1.1	4	9	58	22	19	29	60	28	49	133	0
Solyc00g021660.1.1	0	5	39	16	3	7	64	0	1	8	16
Solyc00g022070.1.1	0	2	12	0	3	14	17	12	10	54	0
Solyc00g022080.1.1	0	2	10	0	3	19	19	13	12	11	0
Solyc00g022090.1.1	0	2	20	12	18	23	69	2	24	68	2
Solyc00g022100.1.1	76	73	119	32	35	66	293	22	58	156	43
Solyc00g022110.2.1	123	133	339	71	187	350	774	246	338	1562	61
Solyc00g022920.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g023020.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g023030.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g023040.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g023050.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g023250.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g023260.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g023270.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g023470.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g023570.1.1	0	1	22	0	18	9	21	5	16	71	0
Solyc00g023580.1.1	0	0	26	7	8	6	14	1	28	75	2
Solyc00g023590.2.1	0	12	66	41	14	49	73	16	53	108	5
Solyc00g023600.1.1	0	7	21	0	14	7	38	8	19	30	0
Solyc00g023700.2.1	0	1	36	2	10	28	40	5	57	43	0
Solyc00g023710.1.1	0	1	15	6	6	5	16	6	32	20	0
Solyc00g024010.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g024020.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g024030.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g024040.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g024050.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g024150.2.1	8970	1248	373	1434	1884	1262	3086	1083	622	1863	3546
Solyc00g024160.1.1	11	2	0	0	2	0	6	0	0	0	0
Solyc00g024170.1.1	0	0	1	0	0	0	1	0	0	0	0
Solyc00g024370.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g024570.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g024670.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g024680.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g024690.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g025290.1.1	23	173	450	32	116	220	715	166	382	710	35
Solyc00g025300.1.1	0	1	24	6	8	15	14	5	15	56	0
Solyc00g025400.2.1	0	2	48	29	29	28	83	28	56	120	1
Solyc00g025500.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g025510.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g025520.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g025530.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g025540.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g025650.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g025660.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g026160.2.1	0	6	4	0	0	18	1	0	0	4	0
Solyc00g026860.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g026870.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g026880.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g026890.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g026900.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g027120.1.1	4	0	1	0	0	0	0	0	0	0	0
Solyc00g027130.1.1	0	0	6	0	0	0	3	0	0	0	0
Solyc00g027140.1.1	0	1	1	0	0	0	1	0	0	0	0
Solyc00g027640.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g027650.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g027660.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g027670.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g027770.2.1	3045	942	1180	7678	3342	3847	2972	4706	3569	3886	4177
Solyc00g027870.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g027970.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g027980.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g027990.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g028090.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g028100.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g028110.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g028120.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g028420.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g028520.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g028530.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g028540.1.1	0	0	0	0	0	0	0	0	0	0	0
