gene	F2-28_concat	Elite_2020	PI127826_2020
Solyc00g009780.1.1	708.116890396048	200.195439163791	2153.53090662377
Solyc00g009790.1.1	0	0	0
Solyc00g009800.1.1	965.463972287215	409.989289794338	2958.67187828672
Solyc00g010100.1.1	0	0	0
Solyc00g010110.1.1	0	0	0
Solyc00g010210.1.1	0	0	0
Solyc00g010410.1.1	0	0	0
Solyc00g010420.1.1	0	0	0
Solyc00g010520.1.1	0	0	0
Solyc00g010530.1.1	59.3877881287309	65.8176786291914	113.250598211932
Solyc00g010540.1.1	0.412415195338409	0	1.76954059706144
Solyc00g010550.1.1	8.66071910210658	2.74240327621631	21.2344871647372
Solyc00g010750.1.1	2.06207597669204	5.48480655243262	1.76954059706144
Solyc00g010760.1.1	0	0	0
Solyc00g010770.1.1	2.47449117203045	6.85600819054077	3.53908119412288
Solyc00g010780.1.1	0.824830390676818	0	0
Solyc00g010790.1.1	0	0	0
Solyc00g010810.1.1	0	0	0
Solyc00g010930.1.1	0	0	0
Solyc00g011130.1.1	0	0	0
Solyc00g011140.1.1	0	0	0
Solyc00g011150.1.1	13852.2015810265	12279.1106692585	31623.4600100849
Solyc00g011160.1.1	27659.8623209564	22290.2538290862	71022.2814036579
Solyc00g011170.1.1	8.24830390676818	10.9696131048652	23.0040277617987
Solyc00g011180.1.1	0	0	0
Solyc00g011310.1.1	0	0	0
Solyc00g011550.1.1	2.47449117203045	0	0
Solyc00g011560.1.1	3.29932156270727	1.37120163810815	0
Solyc00g011660.1.1	2.06207597669204	0	0
Solyc00g011670.1.1	0	0	0
Solyc00g011870.1.1	8.24830390676818	0	5.30862179118431
Solyc00g011880.2.1	6.59864312541454	176.885011315952	30.0821901500444
Solyc00g011890.2.1	776.990228017562	4459.14772712772	1213.90484958415
Solyc00g012090.1.1	0	0	0
Solyc00g012310.1.1	0	0	0
Solyc00g012430.1.1	13891.793439779	9661.48674211006	31382.8024888846
Solyc00g012440.1.1	30539.7576300045	25526.2896950214	71337.2596299348
Solyc00g012540.1.1	0	0	0
Solyc00g012640.1.1	0	0	0
Solyc00g012650.1.1	0	0	0
Solyc00g012660.1.1	0	0	0
Solyc00g012670.1.1	0	0	0
Solyc00g012680.1.1	0	0	0
