IDENTIFIER	VALUE
Solyc01g009160	-0.442011984
Solyc01g009170	0.540741502
Solyc01g009180	-0.107245382
Solyc01g009200	-1.859294547
Solyc01g009220	-1.529320992
Solyc01g009230	-0.314545182
Solyc01g009240	-1.554563967
Solyc01g009245	-0.622093495
Solyc01g009250	-0.45342993
Solyc01g009280	-0.453939888
Solyc01g009290	0.591078817
Solyc01g009300	-0.944418049
Solyc01g009310	0.155021395
Solyc01g009340	1.076497606
Solyc01g009380	0.271995251
Solyc01g009390	0.304649211
Solyc01g009420	-0.151249338
Solyc01g009430	0.204802348
Solyc01g009443	-0.05868191
Solyc01g009447	0.652000145
Solyc01g009480	-1.386533534
Solyc01g009500	0.49650479
Solyc01g009520	0.432234661
Solyc01g009565	1.014038183
Solyc01g009610	0.724812366
Solyc01g009620	0.068105211
Solyc01g009630	0.715285819
Solyc01g009670	-0.462646895
Solyc01g009690	1.124521699
Solyc01g009750	-0.272071284
Solyc01g009760	3.343779309
Solyc01g009770	1.539650033
Solyc01g009780	0.609501437
Solyc01g009820	-0.105655339
Solyc01g009850	0.080505498
Solyc01g009860	1.144918611
Solyc01g009900	2.166586158
Solyc01g009930	-0.019103361
Solyc01g009960	-3.884176993
Solyc01g009970	0.49518137
Solyc01g009990	0.304278243
Solyc01g010000	-0.575288958
Solyc01g010020	0.870876577
Solyc01g010030	-0.269201832
Solyc01g010050	-0.133153055
Solyc01g010060	-0.551482608
Solyc01g010080	2.361627662
Solyc01g010130	1.075173077
Solyc01g010150	0.517007869
Solyc01g010180	1.476343201
Solyc01g010185	-0.071477598
Solyc01g010215	-0.648538135
Solyc01g010220	0.839223823
Solyc01g010230	-0.088320082
Solyc01g010250	-0.25188939
Solyc01g010270	-0.304866932
Solyc01g010290	-0.698902839
Solyc01g010310	-2.031812177
Solyc01g010370	-0.180371415
Solyc01g010390	-1.306838185
Solyc01g010410	0.382444054
Solyc01g010430	-0.608914367
Solyc01g010440	0.42796024
Solyc01g010460	0.406235535
Solyc01g010470	0.333909531
Solyc01g010480	0.128761666
Solyc01g010510	-0.144293355
Solyc01g010520	0.466320884
Solyc01g010540	0.225041982
Solyc01g010570	0.376625009
Solyc01g010580	0.380441277
Solyc01g010590	-0.555592875
Solyc01g010640	1.219172937
Solyc01g010650	0.119923345
Solyc01g010660	0.033805076
Solyc01g010700	0.435324095
Solyc01g010710	0.457575346
Solyc01g010750	-0.973454409
Solyc01g010760	-0.922081179
Solyc01g010780	-0.182333635
Solyc01g010810	-0.566642074
Solyc01g010820	-0.263395376
Solyc01g010830	0.730024415
Solyc01g010860	0.11782105
Solyc01g010870	-0.056978174
Solyc01g010880	-0.09827467
Solyc01g010910	1.49051041
Solyc01g010920	0.147010734
Solyc01g010930	0.231221701
Solyc01g010940	0.010494928
Solyc01g010950	0.015311194
Solyc01g010970	0.845583427
Solyc01g010990	-0.257561783
Solyc01g011000	-0.134069482
Solyc01g011030	1.011154534
Solyc01g011040	-0.552162116
Solyc01g011080	3.760235622
Solyc01g011090	-0.4893903
Solyc01g011100	-0.580129995
Solyc01g011220	2.006821968
Solyc01g011340	-0.460516116
