genotype	replicate	surface	type_VI_counts	diameter	type_VI_mm2
LA1777	9	adaxial	52		4.14
LA1777	10	adaxial	28		2.23
LA1777	9	abaxial	19		1.51
LA1777	10	abaxial	19		1.51
1777_CV	9	adaxial	0		0.00
1777_CV	10	adaxial	0		0.00
1777_CV	9	abaxial	9		0.72
1777_CV	10	abaxial	0		0.00
F1_hab	1	adaxial	132		10.51
F1_hab	2	adaxial	123		9.79
F1_hab	1	abaxial	56		4.46
F1_hab	2	abaxial	134		10.67
F1_hab	3	adaxial	3		0.24
F1_hab	4	adaxial	16		1.27
F1_hab	3	abaxial	1		0.08
F1_hab	4	abaxial	10		0.80
F1_hab	5	adaxial	41		3.26
F1_hab	6	adaxial	4		0.32
F1_hab	5	abaxial	22		1.75
F1_hab	6	abaxial	5		0.40
F1_hab	7	adaxial	49		3.90
F1_hab	8	adaxial	77		6.13
F1_hab	7	abaxial	38		3.03
F1_hab	8	abaxial	25		1.99
F1_hab	9	adaxial	148		11.78
F1_hab	10	adaxial	105		8.36
F1_hab	9	abaxial	75		5.97
F1_hab	10	abaxial	57		4.54
Elite	1	adaxial	16		1.27
Elite	2	adaxial	5		0.40
Elite	1	abaxial	30		2.39
Elite	2	abaxial	1		0.08
Elite	3	adaxial	34		2.71
Elite	4	adaxial	36		2.87
Elite	3	abaxial	21		1.67
Elite	4	abaxial	27		2.15
Elite	5	adaxial	4		0.32
Elite	6	adaxial	4		0.32
Elite	5	abaxial	17		1.35
Elite	6	abaxial	0		0.00
Elite	7	adaxial	27		2.15
Elite	8	adaxial	3		0.24
Elite	7	abaxial	6		0.48
Elite	8	abaxial	7		0.56
Elite	9	adaxial	3		0.24
Elite	10	adaxial	9		0.72
Elite	9	abaxial	5		0.40
Elite	10	abaxial	3		0.24
PI127826	1	adaxial	63		5.02
PI127826	2	adaxial	48		3.82
PI127826	1	abaxial	31		2.47
PI127826	2	abaxial	28		2.23
PI127826	3	adaxial	370		29.46
PI127826	4	adaxial	281		22.37
PI127826	3	abaxial	118		9.39
PI127826	4	abaxial	13		1.04
PI127826	5	adaxial	39		3.11
PI127826	6	adaxial	36		2.87
PI127826	5	abaxial	13		1.04
PI127826	6	abaxial	11		0.88
PI127826	7	adaxial	50		3.98
PI127826	8	adaxial	76		6.05
PI127826	7	abaxial	84		6.69
PI127826	8	abaxial	36		2.87
PI127826	9	adaxial	41		3.26
PI127826	10	adaxial	24		1.91
PI127826	9	abaxial	17		1.35
PI127826	10	abaxial	4		0.32
