"Sequence_ID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Solyc00g500068"	138.171665453379	0.0991627920877364	0.44295204438725	0.223868008612335	0.822860009394682	0.999560357472563
"Solyc00g500069"	28.6277669163199	-1.4168671888783	1.62654488063578	-0.871090128373508	0.383704943726838	0.999560357472563
"Solyc00g500071"	119.605262378459	-0.261429215133559	0.390549315264474	-0.669388486717798	0.503247694022795	0.999560357472563
"Solyc00g500075"	28.4034244712493	-0.867263571858687	1.14682653235651	-0.756229078583162	0.449511861260548	0.999560357472563
"Solyc00g500076"	79.3570719141058	-0.601145365975084	1.05492740299076	-0.569845246479341	0.568782664084479	0.999560357472563
"Solyc00g500077"	107.656120159574	-0.596543618793221	1.32398499053122	-0.450566753444745	0.652301832909589	0.999560357472563
"Solyc00g500079"	133.645493443694	-0.0232839417552339	1.52888228166188	-0.0152293881841082	0.98784917599798	0.999560357472563
"Solyc00g500080"	367.125564945392	-0.338725499135591	1.22918322834095	-0.275569574434216	0.782878681189009	0.999560357472563
"Solyc00g500081"	22.1120768515982	-0.135704045626792	0.455360640166285	-0.298014438791277	0.765692143500876	0.999560357472563
"Solyc00g500083"	256.269106059098	-0.423538074910461	0.48583692194651	-0.871770044181805	0.383333839698082	0.999560357472563
"Solyc00g500084"	127.79244792115	-0.864216089089117	2.55574591440971	-0.338146325194741	0.735252922020714	0.999560357472563
"Solyc00g500085"	11.5546201594749	-0.0193877640388361	0.767719774817015	-0.0252536989078563	0.979852605058881	0.999560357472563
"Solyc00g500088"	1068.81619454089	-0.507552961208669	2.59933621855955	-0.195262528019532	0.845187430703243	0.999560357472563
"Solyc00g500099"	55.8184976366063	-0.919176521422697	1.15084385504819	-0.798697857568359	0.42446562937077	0.999560357472563
"Solyc00g500100"	43.918815555642	-1.17983782618815	1.1099205544206	-1.06299304169932	0.287785106888314	0.999560357472563
"Solyc00g500107"	30.4746325162801	-0.270340285191554	1.02273819430209	-0.26432990055293	0.791525722061298	0.999560357472563
"Solyc00g500111"	17.0620981508648	-0.119287611284668	1.2394765739774	-0.0962403112645219	0.923329715627654	0.999560357472563
"Solyc00g500113"	12.7659295942007	-0.473659350143688	0.879520437816413	-0.538542744179593	0.590202403675346	0.999560357472563
