genotype,surface,name,date,type_VI
14830-042,adaxial,Michelle,28-Mar,5
14830-042,abaxial,Michelle,28-Mar,4
14830-043,adaxial,Michelle,28-Mar,5
14830-043,abaxial,Michelle,28-Mar,4
14830-044,adaxial,Michelle,28-Mar,4
14830-044,abaxial,Michelle,28-Mar,4
14830-045,adaxial,Sanne,28-Mar,5
14830-045,abaxial,Sanne,28-Mar,5
14830-046,adaxial,Aleksandra,28-Mar,5
14830-046,abaxial,Aleksandra,28-Mar,5
14830-047,abaxial,Marc,28-Mar,4
14830-047,adaxial,Marc,28-Mar,1
14830-048,abaxial,Sanne,28-Mar,5
14830-048,adaxial,Sanne,28-Mar,4
14830-049,adaxial,Aleksandra,28-Mar,5
14830-049,abaxial,Aleksandra,28-Mar,5
14830-050,adaxial,Michelle,28-Mar,4
14830-050,abaxial,Michelle,28-Mar,2
14830-051,adaxial,Aleksandra,28-Mar,5
14830-051,abaxial,Aleksandra,28-Mar,5
14830-052,adaxial,Michelle,28-Mar,5
14830-052,abaxial,Michelle,28-Mar,5
14830-053,adaxial,Aleksandra,28-Mar,5
14830-053,abaxial,Aleksandra,28-Mar,5
14830-054,abaxial,Sanne,28-Mar,4
14830-054,adaxial,Sanne,28-Mar,2
14830-055,adaxial,Sanne,28-Mar,5
14830-055,abaxial,Sanne,28-Mar,5
14830-056,adaxial,Aleksandra,28-Mar,5
14830-056,abaxial,Aleksandra,28-Mar,5
14830-057,adaxial,Sanne,28-Mar,5
14830-057,abaxial,Sanne,28-Mar,4
14830-058,adaxial,Aleksandra,28-Mar,5
14830-058,abaxial,Aleksandra,28-Mar,5
14830-059,abaxial,Michelle,28-Mar,5
14830-059,adaxial,Michelle,28-Mar,4
14830-060,adaxial,Michelle,28-Mar,5
14830-060,abaxial,Michelle,28-Mar,5
14830-061,adaxial,Michelle,28-Mar,4
14830-061,abaxial,Michelle,28-Mar,4
14830-062,adaxial,Aleksandra,28-Mar,5
14830-062,abaxial,Aleksandra,28-Mar,5
14830-063,abaxial,Sanne,28-Mar,3
14830-063,adaxial,Sanne,28-Mar,2
14830-064,abaxial,Michelle,28-Mar,5
14830-064,adaxial,Michelle,28-Mar,4
14830-066,adaxial,Sanne,28-Mar,5
14830-066,abaxial,Sanne,28-Mar,5
14830-067,abaxial,Sanne,28-Mar,5
14830-067,adaxial,Sanne,28-Mar,4
14830-068,adaxial,Sanne,28-Mar,5
14830-068,abaxial,Sanne,28-Mar,3
14830-069,abaxial,Michelle,28-Mar,5
14830-069,adaxial,Michelle,28-Mar,2
14830-070,adaxial,Aleksandra,28-Mar,5
14830-070,abaxial,Aleksandra,28-Mar,5
14830-071,adaxial,Michelle,28-Mar,5
14830-071,abaxial,Michelle,28-Mar,5
14830-072,adaxial,Sanne,28-Mar,4
14830-072,abaxial,Sanne,28-Mar,2
14830-073,abaxial,Aleksandra,28-Mar,5
14830-073,adaxial,Aleksandra,28-Mar,4
14830-074,abaxial,Michelle,28-Mar,4
14830-074,adaxial,Michelle,28-Mar,2
14830-076,abaxial,Sanne,28-Mar,5
14830-076,adaxial,Sanne,28-Mar,4
14830-077,adaxial,Michelle,28-Mar,5
14830-077,abaxial,Michelle,28-Mar,5
14830-078,abaxial,Michelle,28-Mar,5
14830-078,adaxial,Michelle,28-Mar,4
14830-080,adaxial,Sanne,28-Mar,5
14830-080,abaxial,Sanne,28-Mar,5
14830-081,adaxial,Sanne,28-Mar,5
14830-081,abaxial,Sanne,28-Mar,2
14830-082,adaxial,Sanne,28-Mar,5
14830-082,abaxial,Sanne,28-Mar,4
14830-083,adaxial,Michelle,28-Mar,5
14830-083,abaxial,Michelle,28-Mar,2
14830-084,adaxial,Aleksandra,28-Mar,5
14830-084,abaxial,Aleksandra,28-Mar,5
14830-085,abaxial,Michelle,28-Mar,4
14830-085,adaxial,Michelle,28-Mar,2
14830-086,abaxial,Sanne,28-Mar,3
14830-086,adaxial,Sanne,28-Mar,2
14830-087,abaxial,Sanne,28-Mar,3
14830-087,adaxial,Sanne,28-Mar,2
14830-088,adaxial,Sanne,28-Mar,5
14830-088,abaxial,Sanne,28-Mar,4
14830-089,adaxial,Sanne,28-Mar,4
14830-089,abaxial,Sanne,28-Mar,4
14830-090,adaxial,Sanne,28-Mar,5
14830-090,abaxial,Sanne,28-Mar,2
14830-091,adaxial,Sanne,28-Mar,5
14830-091,abaxial,Sanne,28-Mar,5
14830-092,adaxial,Aleksandra,28-Mar,5
14830-092,abaxial,Aleksandra,28-Mar,5
14830-093,adaxial,Sanne,28-Mar,5
14830-093,abaxial,Sanne,28-Mar,4
14830-094,adaxial,Marc,28-Mar,4
14830-094,abaxial,Marc,28-Mar,3
14830-095,adaxial,Aleksandra,28-Mar,5
14830-095,abaxial,Aleksandra,28-Mar,5
14830-096,adaxial,Marc,28-Mar,2
14830-096,abaxial,Marc,28-Mar,2
14830-098,adaxial,Sanne,28-Mar,5
14830-098,abaxial,Sanne,28-Mar,5
14830-099,adaxial,Sanne,28-Mar,4
14830-099,abaxial,Sanne,28-Mar,4
14830-100,adaxial,Aleksandra,28-Mar,5
14830-100,abaxial,Aleksandra,28-Mar,4
14830-101,adaxial,Sanne,28-Mar,2
14830-101,abaxial,Sanne,28-Mar,2
14830-102,adaxial,Aleksandra,28-Mar,5
14830-102,abaxial,Aleksandra,28-Mar,4
14830-103,abaxial,Aleksandra,28-Mar,5
14830-103,adaxial,Aleksandra,28-Mar,4
14830-104,adaxial,Sanne,28-Mar,4
14830-104,abaxial,Sanne,28-Mar,4
14830-105,adaxial,Sanne,28-Mar,5
14830-105,abaxial,Sanne,28-Mar,5
14830-106,adaxial,Aleksandra,28-Mar,4
14830-106,abaxial,Aleksandra,28-Mar,4
14830-107,adaxial,Aleksandra,28-Mar,5
14830-107,abaxial,Aleksandra,28-Mar,3
14830-108,adaxial,Aleksandra,28-Mar,5
14830-108,abaxial,Aleksandra,28-Mar,4
14830-109,adaxial,Sanne,28-Mar,5
14830-109,abaxial,Sanne,28-Mar,5
14830-110,adaxial,Sanne,28-Mar,5
14830-110,abaxial,Sanne,28-Mar,5
14830-111,adaxial,Sanne,28-Mar,5
14830-111,abaxial,Sanne,28-Mar,5
14830-112,adaxial,Sanne,28-Mar,5
14830-112,abaxial,Sanne,28-Mar,5
14830-113,adaxial,Sanne,28-Mar,4
14830-113,abaxial,Sanne,28-Mar,2
14830-114,adaxial,Aleksandra,28-Mar,5
14830-114,abaxial,Aleksandra,28-Mar,5
14830-116,adaxial,Michelle,28-Mar,5
14830-116,abaxial,Michelle,28-Mar,4
14830-117,adaxial,Sanne,28-Mar,5
14830-117,abaxial,Sanne,28-Mar,4
14830-118,adaxial,Aleksandra,28-Mar,5
14830-118,abaxial,Aleksandra,28-Mar,5
14830-119,adaxial,Sanne,28-Mar,5
14830-119,abaxial,Sanne,28-Mar,5
14830-120,adaxial,Aleksandra,28-Mar,5
14830-120,abaxial,Aleksandra,28-Mar,5
14830-121,adaxial,Sanne,28-Mar,5
14830-121,abaxial,Sanne,28-Mar,4
14830-122,adaxial,Aleksandra,28-Mar,5
14830-122,abaxial,Aleksandra,28-Mar,1
14830-124,adaxial,Aleksandra,28-Mar,5
14830-124,abaxial,Aleksandra,28-Mar,5
14830-125,adaxial,Aleksandra,28-Mar,5
14830-125,abaxial,Aleksandra,28-Mar,5
14830-126,adaxial,Aleksandra,28-Mar,5
14830-126,abaxial,Aleksandra,28-Mar,5
14830-127,abaxial,Sanne,28-Mar,3
14830-127,adaxial,Sanne,28-Mar,2
14830-128,abaxial,Marc,28-Mar,5
14830-128,adaxial,Marc,28-Mar,4
14830-129,adaxial,Aleksandra,28-Mar,5
14830-129,abaxial,Aleksandra,28-Mar,4
14830-130,adaxial,Aleksandra,28-Mar,5
14830-130,abaxial,Aleksandra,28-Mar,4
14830-131,abaxial,Aleksandra,28-Mar,5
14830-131,adaxial,Aleksandra,28-Mar,4
14830-132,adaxial,Sanne,28-Mar,2
14830-132,abaxial,Sanne,28-Mar,2
14830-133,adaxial,Sanne,28-Mar,5
14830-133,abaxial,Sanne,28-Mar,5
14830-134,adaxial,Sanne,28-Mar,5
14830-134,abaxial,Sanne,28-Mar,5
14830-135,adaxial,Michelle,28-Mar,4
14830-135,abaxial,Michelle,28-Mar,4
14830-136,adaxial,Sanne,28-Mar,2
14830-136,abaxial,Sanne,28-Mar,2
14830-137,abaxial,Sanne,28-Mar,5
14830-137,adaxial,Sanne,28-Mar,4
14830-138,adaxial,Michelle,28-Mar,5
14830-138,abaxial,Michelle,28-Mar,5
14830-139,abaxial,Michelle,28-Mar,4
14830-139,adaxial,Michelle,28-Mar,3
14830-140,abaxial,Sanne,28-Mar,4
14830-140,adaxial,Sanne,28-Mar,2
14830-141,abaxial,Michelle,28-Mar,3
14830-141,adaxial,Michelle,28-Mar,2
14830-142,adaxial,Aleksandra,28-Mar,5
14830-142,abaxial,Aleksandra,28-Mar,5
14830-144,adaxial,Sanne,28-Mar,5
14830-144,abaxial,Sanne,28-Mar,5
14830-145,adaxial,Aleksandra,28-Mar,4
14830-145,abaxial,Aleksandra,28-Mar,4
14830-147,adaxial,Aleksandra,28-Mar,5
14830-147,abaxial,Aleksandra,28-Mar,5
14830-148,adaxial,Sanne,28-Mar,5
14830-148,abaxial,Sanne,28-Mar,4
14830-149,abaxial,Aleksandra,28-Mar,5
14830-149,adaxial,Aleksandra,28-Mar,4
14830-150,adaxial,Sanne,28-Mar,4
14830-150,abaxial,Sanne,28-Mar,3
14830-151,adaxial,Michelle,20-Mar,2
14830-151,abaxial,Michelle,20-Mar,2
14830-152,adaxial,Michelle,23-Mar,4
14830-152,abaxial,Michelle,23-Mar,2
14830-153,adaxial,Michelle,23-Mar,4
14830-153,abaxial,Michelle,23-Mar,3
14830-154,adaxial,Michelle,23-Mar,3
14830-154,abaxial,Michelle,23-Mar,2
14830-155,adaxial,Michelle,23-Mar,3
14830-155,abaxial,Michelle,23-Mar,2
14830-156,abaxial,Michelle,23-Mar,3
14830-156,adaxial,Michelle,23-Mar,2
14830-157,adaxial,Sanne,23-Mar,2
14830-157,abaxial,Sanne,23-Mar,2
14830-158,adaxial,Michelle,20-Mar,2
14830-158,abaxial,Michelle,20-Mar,2
14830-159,abaxial,Michelle,23-Mar,3
14830-159,adaxial,Michelle,23-Mar,2
14830-160,adaxial,Michelle,23-Mar,2
14830-160,abaxial,Michelle,23-Mar,2
14830-161,adaxial,Michelle,20-Mar,5
14830-161,abaxial,Michelle,20-Mar,4
14830-162,adaxial,Sanne,23-Mar,1
14830-162,abaxial,Sanne,23-Mar,1
14830-163,adaxial,Michelle,20-Mar,2
14830-163,abaxial,Michelle,20-Mar,1
14830-164,adaxial,Michelle,20-Mar,4
14830-164,abaxial,Michelle,20-Mar,4
14830-165,adaxial,Michelle,23-Mar,4
14830-165,abaxial,Michelle,23-Mar,2
14830-166,abaxial,Michelle,23-Mar,4
14830-166,adaxial,Michelle,23-Mar,2
14830-167,abaxial,Michelle,23-Mar,2
14830-167,adaxial,Michelle,23-Mar,1
14830-168,adaxial,Michelle,23-Mar,2
14830-168,abaxial,Michelle,23-Mar,2
14830-170,abaxial,Michelle,20-Mar,5
14830-170,adaxial,Michelle,20-Mar,4
14830-171,adaxial,Michelle,23-Mar,4
14830-171,abaxial,Michelle,23-Mar,3
14830-172,adaxial,Michelle,23-Mar,2
14830-172,abaxial,Michelle,23-Mar,2
14830-173,adaxial,Michelle,23-Mar,4
14830-173,abaxial,Michelle,23-Mar,4
14830-174,abaxial,Marc,20-Mar,3
14830-174,adaxial,Marc,20-Mar,2
14830-175,adaxial,Aleksandra,20-Mar,2
14830-175,abaxial,Aleksandra,20-Mar,2
14830-176,adaxial,Michelle,23-Mar,3
14830-176,abaxial,Michelle,23-Mar,3
14830-177,adaxial,Michelle,20-Mar,5
14830-177,abaxial,Michelle,20-Mar,5
14830-178,adaxial,Aleksandra,20-Mar,3
14830-178,abaxial,Aleksandra,20-Mar,3
14830-179,abaxial,Michelle,23-Mar,5
14830-179,adaxial,Michelle,23-Mar,4
14830-180,adaxial,Marc,20-Mar,2
14830-180,abaxial,Marc,20-Mar,2
14830-181,adaxial,Aleksandra,20-Mar,2
14830-181,abaxial,Aleksandra,20-Mar,2
14830-182,adaxial,Michelle,20-Mar,5
14830-182,abaxial,Michelle,20-Mar,5
14830-183,adaxial,Aleksandra,20-Mar,2
14830-183,abaxial,Aleksandra,20-Mar,2
14830-184,adaxial,Michelle,20-Mar,5
14830-184,abaxial,Michelle,20-Mar,5
14830-185,adaxial,Aleksandra,20-Mar,4
14830-185,abaxial,Aleksandra,20-Mar,2
14830-186,adaxial,Marc,20-Mar,3
14830-186,abaxial,Marc,20-Mar,2
14830-188,adaxial,Aleksandra,20-Mar,2
14830-188,abaxial,Aleksandra,20-Mar,2
14830-189,adaxial,Aleksandra,20-Mar,2
14830-189,abaxial,Aleksandra,20-Mar,2
14830-190,adaxial,Marc,20-Mar,4
14830-190,abaxial,Marc,20-Mar,3
14830-191,abaxial,Michelle,20-Mar,4
14830-191,adaxial,Michelle,20-Mar,2
14830-192,adaxial,Aleksandra,20-Mar,2
14830-192,abaxial,Aleksandra,20-Mar,2
14830-194,adaxial,Marc,20-Mar,4
14830-194,abaxial,Marc,20-Mar,3
14830-195,adaxial,Michelle,20-Mar,4
14830-195,abaxial,Michelle,20-Mar,4
14830-196,adaxial,Marc,20-Mar,2
14830-196,abaxial,Marc,20-Mar,2
14830-197,adaxial,Marc,20-Mar,4
14830-197,abaxial,Marc,20-Mar,3
14830-198,adaxial,Aleksandra,20-Mar,4
14830-198,abaxial,Aleksandra,20-Mar,2
14830-199,adaxial,Marc,20-Mar,3
14830-199,abaxial,Marc,20-Mar,2
14830-200,adaxial,Aleksandra,20-Mar,2
14830-200,abaxial,Aleksandra,20-Mar,2
14830-201,abaxial,Michelle,20-Mar,2
14830-201,adaxial,Michelle,20-Mar,1
14830-202,adaxial,Marc,20-Mar,2
14830-202,abaxial,Marc,20-Mar,2
14830-203,adaxial,Aleksandra,20-Mar,4
14830-203,abaxial,Aleksandra,20-Mar,4
14830-203,adaxial,Aleksandra,21-Mar,4
14830-203,abaxial,Aleksandra,21-Mar,2
14830-204,adaxial,Petra,20-Mar,4
14830-204,abaxial,Petra,20-Mar,4
14830-205,abaxial,Marc,20-Mar,4
14830-205,abaxial,Petra,20-Mar,4
14830-205,adaxial,Petra,20-Mar,3
14830-205,adaxial,Marc,20-Mar,2
14830-206,adaxial,Aleksandra,20-Mar,4
14830-206,adaxial,Petra,20-Mar,4
14830-206,abaxial,Petra,20-Mar,3
14830-206,abaxial,Aleksandra,20-Mar,2
14830-208,adaxial,Petra,20-Mar,3
14830-208,abaxial,Petra,20-Mar,3
14830-208,adaxial,Michelle,20-Mar,3
14830-208,abaxial,Michelle,20-Mar,3
14830-209,abaxial,Michelle,20-Mar,5
14830-209,adaxial,Michelle,20-Mar,2
14830-211,adaxial,Aleksandra,20-Mar,4
14830-211,abaxial,Aleksandra,20-Mar,2
14830-212,adaxial,Marc,20-Mar,3
14830-212,abaxial,Marc,20-Mar,2
14830-214,adaxial,Aleksandra,20-Mar,2
14830-214,abaxial,Aleksandra,20-Mar,2
14830-215,abaxial,Petra,20-Mar,4
14830-215,adaxial,Petra,20-Mar,3
14830-216,adaxial,Aleksandra,20-Mar,4
14830-216,abaxial,Aleksandra,20-Mar,2
14830-217,adaxial,Petra,20-Mar,4
14830-217,abaxial,Petra,20-Mar,2
14830-218,adaxial,Petra,20-Mar,3
14830-218,abaxial,Petra,20-Mar,3
14830-219,adaxial,Aleksandra,20-Mar,3
14830-219,abaxial,Aleksandra,20-Mar,2
14830-220,adaxial,Aleksandra,20-Mar,4
14830-220,abaxial,Aleksandra,20-Mar,2
14830-221,adaxial,Aleksandra,20-Mar,4
14830-221,abaxial,Aleksandra,20-Mar,2
14830-222,adaxial,Michelle,20-Mar,2
14830-222,abaxial,Michelle,20-Mar,2
14830-223,adaxial,Aleksandra,20-Mar,3
14830-223,abaxial,Aleksandra,20-Mar,2
14830-224,adaxial,Marc,20-Mar,2
14830-224,abaxial,Marc,20-Mar,2
14830-225,adaxial,Marc,20-Mar,2
14830-225,abaxial,Marc,20-Mar,2
14830-226,adaxial,Aleksandra,20-Mar,4
14830-226,abaxial,Aleksandra,20-Mar,2
14830-227,adaxial,Marc,20-Mar,3
14830-227,abaxial,Marc,20-Mar,2
14830-228,adaxial,Marc,20-Mar,2
14830-228,abaxial,Marc,20-Mar,2
14830-229,adaxial,Aleksandra,20-Mar,3
14830-229,abaxial,Aleksandra,20-Mar,2
14830-230,adaxial,Aleksandra,20-Mar,4
14830-230,abaxial,Aleksandra,20-Mar,2
14830-231,adaxial,Marc,20-Mar,3
14830-231,abaxial,Marc,20-Mar,3
14830-232,adaxial,Aleksandra,20-Mar,4
14830-232,abaxial,Aleksandra,20-Mar,2
14830-233,adaxial,Michelle,20-Mar,2
14830-233,abaxial,Michelle,20-Mar,2
14830-234,abaxial,Michelle,20-Mar,4
14830-234,adaxial,Michelle,20-Mar,2
14830-235,adaxial,Marc,20-Mar,2
14830-235,abaxial,Marc,20-Mar,2
14830-236,adaxial,Michelle,20-Mar,2
14830-236,abaxial,Michelle,20-Mar,1
14830-237,abaxial,Michelle,20-Mar,2
14830-237,adaxial,Michelle,20-Mar,1
14830-238,adaxial,Aleksandra,21-Mar,5
14830-238,adaxial,Marc,20-Mar,3
14830-238,abaxial,Marc,20-Mar,3
14830-238,abaxial,Aleksandra,21-Mar,2
14830-239,adaxial,Aleksandra,21-Mar,5
14830-239,abaxial,Aleksandra,21-Mar,2
14830-240,adaxial,Rob,21-Mar,4
14830-240,abaxial,Rob,21-Mar,2
14830-241,adaxial,Aleksandra,21-Mar,3
14830-241,abaxial,Aleksandra,21-Mar,1
14830-242,adaxial,Aleksandra,21-Mar,4
14830-242,abaxial,Aleksandra,21-Mar,1
14830-243,adaxial,Aleksandra,21-Mar,3
14830-243,abaxial,Aleksandra,21-Mar,1
14830-244,adaxial,Aleksandra,21-Mar,5
14830-244,abaxial,Aleksandra,21-Mar,2
14830-245,adaxial,Sanne,21-Mar,4
14830-245,abaxial,Sanne,21-Mar,3
14830-246,adaxial,Rob,21-Mar,3
14830-246,abaxial,Rob,21-Mar,2
14830-247,adaxial,Rob,21-Mar,3
14830-247,abaxial,Rob,21-Mar,1
14830-248,adaxial,Aleksandra,21-Mar,3
14830-248,abaxial,Aleksandra,21-Mar,2
14830-249,adaxial,Aleksandra,21-Mar,2
14830-249,abaxial,Aleksandra,21-Mar,2
14830-250,adaxial,Sanne,21-Mar,5
14830-250,abaxial,Sanne,21-Mar,3
14830-251,adaxial,Rob,21-Mar,4
14830-251,abaxial,Rob,21-Mar,2
14830-252,adaxial,Sanne,21-Mar,3
14830-252,abaxial,Sanne,21-Mar,3
14830-253,adaxial,Rob,21-Mar,4
14830-253,abaxial,Rob,21-Mar,2
14830-254,adaxial,Aleksandra,21-Mar,3
14830-254,abaxial,Aleksandra,21-Mar,2
14830-255,adaxial,Sanne,21-Mar,5
14830-255,abaxial,Sanne,21-Mar,5
14830-256,adaxial,Sanne,21-Mar,3
14830-256,abaxial,Sanne,21-Mar,3
14830-257,adaxial,Aleksandra,21-Mar,5
14830-257,abaxial,Aleksandra,21-Mar,2
14830-258,adaxial,Aleksandra,21-Mar,3
14830-258,abaxial,Aleksandra,21-Mar,1
14830-259,adaxial,Aleksandra,21-Mar,3
14830-259,abaxial,Aleksandra,21-Mar,2
14830-260,adaxial,Aleksandra,21-Mar,2
14830-260,abaxial,Aleksandra,21-Mar,2
14830-261,adaxial,Aleksandra,21-Mar,4
14830-261,abaxial,Aleksandra,21-Mar,2
14830-262,adaxial,Rob,21-Mar,4
14830-262,abaxial,Rob,21-Mar,1
14830-264,abaxial,Sanne,21-Mar,4
14830-264,adaxial,Sanne,21-Mar,3
14830-265,adaxial,Rob,21-Mar,3
14830-265,abaxial,Rob,21-Mar,2
14830-266,adaxial,Aleksandra,21-Mar,2
14830-266,abaxial,Aleksandra,21-Mar,1
14830-267,adaxial,Aleksandra,21-Mar,4
14830-267,abaxial,Aleksandra,21-Mar,1
14830-268,adaxial,Aleksandra,21-Mar,3
14830-268,abaxial,Aleksandra,21-Mar,2
14830-269,adaxial,Aleksandra,21-Mar,5
14830-269,abaxial,Aleksandra,21-Mar,2
14830-270,adaxial,Aleksandra,21-Mar,3
14830-270,abaxial,Aleksandra,21-Mar,2
14830-271,adaxial,Rob,21-Mar,2
14830-271,abaxial,Rob,21-Mar,2
14830-272,adaxial,Sanne,21-Mar,3
14830-272,abaxial,Sanne,21-Mar,3
14830-273,adaxial,Rob,21-Mar,4
14830-273,abaxial,Rob,21-Mar,3
14830-274,adaxial,Sanne,21-Mar,5
14830-274,abaxial,Sanne,21-Mar,4
14830-275,adaxial,Sanne,21-Mar,1
14830-275,abaxial,Sanne,21-Mar,1
14830-276,adaxial,Sanne,21-Mar,5
14830-276,abaxial,Sanne,21-Mar,4
14830-277,adaxial,Rob,21-Mar,2
14830-277,abaxial,Rob,21-Mar,1
14830-278,adaxial,Sanne,21-Mar,3
14830-278,abaxial,Sanne,21-Mar,3
14830-279,adaxial,Sanne,21-Mar,5
14830-279,abaxial,Sanne,21-Mar,5
14830-280,adaxial,Sanne,21-Mar,5
14830-280,abaxial,Sanne,21-Mar,5
14830-281,adaxial,Rob,21-Mar,2
14830-281,abaxial,Rob,21-Mar,2
14830-282,adaxial,Aleksandra,21-Mar,4
14830-282,abaxial,Aleksandra,21-Mar,3
14830-284,adaxial,Rob,21-Mar,2
14830-284,abaxial,Rob,21-Mar,2
14830-285,adaxial,Aleksandra,21-Mar,3
14830-285,abaxial,Aleksandra,21-Mar,2
14830-286,adaxial,Rob,21-Mar,1
14830-286,abaxial,Rob,21-Mar,1
14830-287,adaxial,Aleksandra,21-Mar,4
14830-287,abaxial,Aleksandra,21-Mar,4
14830-288,adaxial,Rob,21-Mar,4
14830-288,abaxial,Rob,21-Mar,2
14830-289,adaxial,Aleksandra,21-Mar,4
14830-289,abaxial,Aleksandra,21-Mar,3
14830-290,adaxial,Aleksandra,21-Mar,4
14830-290,abaxial,Aleksandra,21-Mar,2
14830-291,adaxial,Aleksandra,21-Mar,4
14830-291,abaxial,Aleksandra,21-Mar,2
14830-292,adaxial,Rob,21-Mar,1
14830-292,abaxial,Rob,21-Mar,1
14830-293,adaxial,Rob,21-Mar,3
14830-293,abaxial,Rob,21-Mar,1
14830-294,adaxial,Aleksandra,21-Mar,4
14830-294,abaxial,Aleksandra,21-Mar,2
14830-295,adaxial,Aleksandra,21-Mar,4
14830-295,abaxial,Aleksandra,21-Mar,2
14830-296,adaxial,Rob,21-Mar,4
14830-296,abaxial,Rob,21-Mar,1
14830-297,adaxial,Aleksandra,21-Mar,3
14830-297,abaxial,Aleksandra,21-Mar,2
14830-298,adaxial,Sanne,21-Mar,4
14830-298,abaxial,Sanne,21-Mar,4
14830-299,adaxial,Sanne,21-Mar,5
14830-299,abaxial,Sanne,21-Mar,2
14830-300,abaxial,Sanne,21-Mar,3
14830-300,adaxial,Sanne,21-Mar,2
14830-301,adaxial,Sanne,21-Mar,5
14830-301,abaxial,Sanne,21-Mar,5
14830-302,adaxial,Sanne,21-Mar,5
14830-302,abaxial,Sanne,21-Mar,4
14830-304,adaxial,Aleksandra,21-Mar,3
14830-304,abaxial,Aleksandra,21-Mar,2
14830-305,adaxial,Aleksandra,21-Mar,3
14830-305,abaxial,Aleksandra,21-Mar,2
14830-306,adaxial,Rob,21-Mar,3
14830-306,abaxial,Rob,21-Mar,2
14830-307,adaxial,Aleksandra,21-Mar,4
14830-307,abaxial,Aleksandra,21-Mar,2
14830-308,adaxial,Aleksandra,21-Mar,4
14830-308,abaxial,Aleksandra,21-Mar,2
14830-309,adaxial,Rob,21-Mar,4
14830-309,abaxial,Rob,21-Mar,2
14830-310,adaxial,Aleksandra,21-Mar,3
14830-310,abaxial,Aleksandra,21-Mar,2
14830-311,adaxial,Aleksandra,21-Mar,3
14830-311,abaxial,Aleksandra,21-Mar,2
14830-312,adaxial,Rob,21-Mar,4
14830-312,abaxial,Rob,21-Mar,3
