sample,genotype,group,B-phellandrene/D-limonene ,B-caryophyllene ,zingiberene ,zingiberenol ,epoxy-zingiberenol ,total_volatiles
445,445,F2,0.057315969,0.016841751,0.046473971,0.020986842,0,0.141618533
449,449,F2,0.061019997,0.201194292,1.938961998,0.054693607,0.700985335,2.956855228
PI127826-CV_2,cultivar,CV,0.355474686,0.014344916,0,0.042678863,0,0.412498465
PI127826-CV_1,cultivar,CV,0.44724927,0.010491889,0,0.035687286,0,0.493428445
PI127826-CV_3,cultivar,CV,0.602131464,0.017480516,0,0.005699244,0,0.625311224
LA1777_CV_2,CV_LA1777,CV,0.164486192,0.058379302,0.004874594,0.026554474,0.003875544,0.258170106
LA1777_CV_3,CV_LA1777,CV,0.207323114,0.143303302,0.013055511,0.005355378,0.009982287,0.379019592
PI127826-F1_14853,F1,F1,0.216745467,0.0495705,0.345483268,0.006004081,0.007122939,0.624926255
PI127826-F1_14879,F1,F1,0.632397524,0.021472393,0.140603963,0.003974637,0.008314006,0.806762523
PI127826-F1_2,F1,F1,0.762301436,0.03204861,0.220869162,0.003652639,0.006815693,1.02568754
PI127826-F1_1,F1,F1,0.826125391,0.037070574,0.27963498,0.015101606,0.020231541,1.178164092
LA1777_4,LA1777,LA1777,0.041760091,0.077982348,0.186709479,0.004866352,0,0.31131827
LA1777_2,LA1777,LA1777,0.039987819,0.094832978,0.266884113,0.029445022,0.005497564,0.436647496
LA1777_3,LA1777,LA1777,0.055193474,0.166358838,0.229064654,0.097790183,0.023080683,0.571487832
LA1777_1,LA1777,LA1777,0.068571445,0.105758064,0.261186673,0.205894648,0.014658273,0.656069103
LA1777_F1_1,LA1777_F1,F1_LA1777,0.193278994,0.024756559,0.038328207,0.02200479,0.006898141,0.285266691
LA1777_F1_3,LA1777_F1,F1_LA1777,1.525026342,0.038363664,0.189106544,0.072195616,0.018728661,1.843420827
PI127826_2,PI127826,PI127826,0.890014319,0.460453088,4.916902996,0.033395263,0.193340559,6.494106225
PI127826_3,PI127826,PI127826,0.315313095,1.392938763,16.01866744,0.009170058,0.118222966,17.85431232
PI127826_1,PI127826,PI127826,0.304680813,1.750379226,15.71002172,0.019850571,0.210721445,17.99565378
PI127826,PI127826,PI127826,1.575509013,2.174683031,22.33503427,1.218198613,1.240661109,28.54408604
PI127826xLA1777_3,PI127826xLA1777,F1-hab,0.089290214,0.673687608,7.235295531,0.008371377,0.068415519,8.075060249
PI127826xLA1777_2,PI127826xLA1777,F1-hab,0.042641203,1.51948359,6.420786792,0.040467709,0.073091937,8.096471231
PI127826xLA1777_1,PI127826xLA1777,F1-hab,0.068087932,3.849129216,9.853146695,0.014969086,0.032489518,13.81782245
