sample,group,pinene,ocymene,carene,B_phellandrene,elemene,zingiberene,caryophyllene,zingiberenol,epoxy-zingiberenol
14830-145,F2,125,0,0,747,141398,206620,4962,638,0
14830-147,F2,82,0,0,119,10905,9970,254,38,161
14830-148,F2,70,0,0,72,21974,9810,163,231,231
14830-149,F2,95,0,26,348,112815,272049,12248,3946,2950
14830-150,F2,93,0,0,870,106446,281817,23143,1865,1082
14830-151,F2,88,0,0,0,3446,3831,50,45,158
14830-152,F2,38,0,0,293,17542,23748,1636,311,687
14830-153,F2,41,0,0,2084,136436,41806,10614,2964,2186
14830-154,F2,86,0,0,321,25841,41872,2247,183,449
14830-156,F2,149,0,0,54,38292,20464,1057,365,506
14830-157,F2,76,0,0,129,48450,56704,4473,673,426
14830-158,F2,107,0,0,161,10150,122357,1405,700,963
14830-159,F2,0,0,0,92,12785,8930,397,38,129
14830-160,F2,34,0,0,566,129632,18172,4352,989,1303
14830-161,F2,41,0,0,75,30310,71735,2578,1113,41
14830-162,F2,40,0,0,617,82220,20186,1887,726,872
14830-164,F2,43,0,0,412,166346,43835,6466,854,5303
14830-165,F2,206,0,0,824,193258,88064,7157,1499,0
14830-166,F2,224,0,0,466,53122,53018,414,2000,1948
14830-167,F2,190,0,0,1690,195928,99830,19997,2128,1502
14830-168,F2,116,0,0,76,1231,13356,443,386,434
14830-169,F2,191,0,0,730,68575,43631,5910,1949,3341
14830-170,F2,187,0,0,153,9621,6405,137,52,78
14830-171,F2,39,0,0,532,350487,61717,7512,2481,1934
14830-172,F2,105,0,0,152,1803,120483,11870,3103,5173
14830-173,F2,37,0,0,384,54011,48674,2550,992,758
14830-174,F2,171,0,0,748,40119,27451,1751,325,307
14830-175,F2,230,0,0,630,41968,20854,4037,470,441
14830-176,F2,130,0,0,107,5145,42259,14934,2980,1607
14830-177,F2,39,0,0,200,20281,19673,2225,397,1558
14830-178,F2,208,0,0,457,38736,5644,824,188,196
14830-179,F2,42,0,0,1352,140769,78800,14032,1497,791
14830-180,F2,75,0,0,167,9942,2474,150,30,64
14830-181,F2,29,0,0,45,23907,6731,248,31,204
14830-182,F2,79,0,0,56,45103,6480,2969,300,887
14830-183,F2,37,0,0,300,27848,2186,497,0,130
14830-184,F2,255,0,0,370,45787,45338,1798,1382,1154
14830-185,F2,119,0,0,417,223106,119541,6304,2364,1669
14830-186,F2,77,0,0,592,84206,42635,3795,684,551
14830-188,F2,37,0,0,161,36958,18176,448,197,583
14830-189,F2,137,0,0,313,22012,14024,400,193,412
14830-190,F2,35,0,0,67,17319,2314,40,0,37
14830-191,F2,50,0,0,396,1893,17951,5213,1212,1879
14830-192,F2,140,0,0,352,379,3709,59,45,46
14830-194,F2,311,0,171,2467,263602,798860,44720,54619,18343
14830-195,F2,43,0,0,178,8578,3286,539,38,197
14830-196,F2,209,0,0,227,23038,27950,1031,588,516
14830-197,F2,73,27,0,697,73522,8163,743,246,126
14830-198,F2,144,0,0,151,54715,12120,3207,1202,1071
14830-199,F2,56,0,0,2362,5659,9800,464,1477,527
14830-200,F2,159,0,0,372,8841,2381,157,28,132
14830-201,F2,45,0,0,269,7529,8998,298,120,203
14830-202,F2,77,0,0,135,18892,30347,2031,99,417
14830-203,F2,31,0,0,316,39018,16760,2842,274,39
14830-204,F2,107,0,0,210,31356,17395,593,223,282
14830-205,F2,45,0,0,269,43377,28068,719,130,447
14830-208,F2,317,0,0,32,204,1101,0,0,34
14830-209,F2,186,0,0,2664,189546,52331,24612,2510,4633
14830-211,F2,95,0,0,200,17293,3900,99,0,34
14830-212,F2,46,0,0,116,7732,253,67,0,30
14830-214,F2,165,0,34,163,4957,2214,174,81,35
14830-215,F2,91,0,0,474,16444,22670,2608,630,1565
14830-216,F2,168,0,0,208,73797,27310,3218,1473,950
14830-217,F2,106,0,0,345,2271,40162,4506,1055,8286
14830-218,F2,80,0,0,69,5717,2862,72,65,36
14830-219,F2,226,0,0,2197,4637,231126,15837,1118,5017
14830-220,F2,130,0,0,2012,146219,22825,3400,1211,909
14830-221,F2,90,0,0,129,1173,39853,2175,937,1004
14830-222,F2,148,0,0,108,1432,843,32,0,29
14830-223,F2,32,0,0,254,19936,5546,421,47,148
14830-224,F2,70,0,0,205,47070,16448,7083,1234,491
14830-225,F2,118,0,0,70,13197,4887,397,0,85
14830-226,F2,166,0,0,130,73382,9034,1105,113,186
14830-227,F2,100,0,0,362,131413,34828,6609,79,859
14830-228,F2,108,27,0,701,15147,13744,2268,506,51
14830-229,F2,233,0,0,528,1782,16708,1235,257,730
14830-230,F2,138,0,48,3065,482987,27481,6708,3729,3167
14830-231,F2,155,25,36,2306,224403,156225,25744,6275,8168
14830-232,F2,81,0,0,477,3660,1725,115,0,26
14830-233,F2,43,0,28,1560,75578,13151,8336,69,41
14830-234,F2,182,0,0,532,99455,13101,906,1397,906
14830-235,F2,122,0,0,232,25280,9431,1855,591,510
14830-236,F2,127,0,0,412,67313,19576,1410,814,694
14830-237,F2,457,0,38,8358,55027,23705,39516,190,51
14830-238,F2,124,32,82,9127,540302,277406,68544,42461,20063
14830-239,F2,211,0,0,2089,384483,142170,13939,8215,3520
14830-240,F2,184,0,28,2720,320693,181489,24495,19664,6464
14830-241,F2,296,31,0,179,32033,45893,3721,2514,1755
14830-242,F2,142,0,0,170,80043,97160,2662,427,1099
14830-243,F2,175,0,0,528,60617,14698,2724,996,1136
14830-244,F2,223,0,33,6600,75704,147152,9738,8402,3061
14830-245,F2,126,0,0,183,200359,128588,66459,8755,4858
14830-246,F2,193,0,0,35,15749,16446,937,194,143
14830-247,F2,68,0,0,248,49263,16000,2960,943,208
14830-248,F2,270,0,71,3363,308339,268295,36002,13268,6995
14830-249,F2,102,0,0,53,18907,26244,2057,228,486
14830-250,F2,191,0,32,2176,103156,36735,135604,33,412
14830-251,F2,70,0,65,1297,194482,92245,27776,5994,7851
14830-252,F2,69,0,153,1437,10091,137516,1885,1139,718
14830-253,F2,133,0,0,165,17435,22269,1398,672,658
14830-254,F2,112,0,0,89,1393,2991,1148,371,187
14830-255,F2,17137,4401,169201,693860,547,8030,934,1080,319
14830-256,F2,114,0,0,70,3791,4861,163,147,73
14830-257,F2,37,0,30,305,36240,7457,3998,1457,559
14830-258,F2,239,0,0,35,592,3753,258,0,35
14830-259,F2,82,0,0,28,12045,3977,222,32,134
14830-260,F2,37,0,0,63,307,9386,1098,330,298
14830-261,F2,121,0,0,1181,55840,19409,4714,699,1215
14830-262,F2,136,0,0,228,82759,6069,373,123,195
14830-264,F2,251,0,0,322,79458,95815,8590,1593,8092
14830-265,F2,53,0,0,339,59162,7167,465,76,400
14830-266,F2,138,0,0,318,86545,23403,9112,2048,1010
14830-267,F2,127,0,0,149,26211,4884,330,129,474
14830-268,F2,197,0,0,296,1120,32230,4374,1105,993
14830-269,F2,37,0,0,77,102,30140,4507,2938,1202
14830-270,F2,108,0,0,647,50363,46361,6955,1818,976
14830-271,F2,118,0,0,222,26503,7864,483,475,61
14830-272,F2,143,0,0,111,63574,15238,4314,391,224
14830-273,F2,111,0,0,78,895,9476,799,457,993
14830-274,F2,82,0,0,282,116001,8090,1805,621,1127
14830-275,F2,216,0,0,29,158,1182,71,0,30
14830-276,F2,50,0,0,336,1039,23953,393,3599,1831
14830-277,F2,77,0,0,731,99961,2974,18385,63,78
14830-278,F2,54,0,0,307,71667,7378,3634,1886,1016
14830-279,F2,70,0,0,451,67695,27012,4174,788,563
14830-280,F2,160,0,0,722,9212,51809,2313,375,442
14830-281,F2,221,0,41,392,245993,142789,14806,5482,3430
14830-282,F2,229,0,0,771,824717,31109,3892,955,485
14830-284,F2,121,0,0,1426,120183,181109,23405,2394,2954
14830-285,F2,220,0,0,474,137611,34147,7931,1405,3208
14830-286,F2,91,0,0,179,39181,6572,1752,40,93
14830-287,F2,42,0,0,226,4181,30919,3727,4019,1451
14830-288,F2,253,0,102,2777,785401,288534,12158,5580,27436
14830-289,F2,79,0,127,2780,296454,166525,36988,25834,19439
14830-290,F2,59,0,54,4815,756852,418288,88032,53797,40719
14830-291,F2,39,0,0,217,578366,236149,31502,24498,23305
14830-292,F2,30,0,0,179,74125,17802,1797,1054,727
14830-293,F2,56,0,23,370,136460,79237,16426,10855,955
14830-294,F2,31,0,32,3070,1273622,118965,64178,45078,25459
14830-295,F2,43,0,32,3754,556597,36138,174785,870,2058
14830-296,F2,41,0,171,3623,895079,508368,204116,71443,30851
14830-297,F2,111,19,0,62,14808,27488,17558,1820,275
14830-298,F2,82,0,0,193,180673,94186,7195,2927,1969
14830-299,F2,51,0,0,158,272252,37487,21512,4326,2655
14830-300,F2,32,0,0,573,110610,46107,7930,4159,4865
14830-301,F2,42,0,0,1417,183167,36202,9884,2941,1715
14830-302,F2,51,0,0,1622,81443,30986,27150,4447,3176
14830-303,F2,30,0,0,1153,321904,9523,215430,692,844
14830-304,F2,56,0,0,165,94491,24886,1531,1018,478
14830-305,F2,64,4,0,1165,200840,100935,36393,3533,7506
14830-306,F2,80,0,0,5204,160670,71653,37558,30641,11875
14830-307,F2,41,0,26,980,208438,111763,32093,7992,10562
14830-308,F2,76,0,0,231,32325,5546,132,34,583
14830-309,F2,41,0,42,2247,275459,160616,47830,14363,21049
14830-310,F2,39,0,0,845,85616,28349,15536,5556,6431
14830-311,F2,33,0,0,117,22539,31441,2002,836,1346
14830-312,F2,35,0,0,2474,747396,57399,20376,16141,6457
14830-313,F2,84,0,0,581,208197,31352,15781,869,1567
14830-314,F2,119,0,121,4354,14687,921983,57373,64928,83639
14830-315,F2,90,0,0,1787,439365,95629,34539,12665,16046
14830-316,F2,46,0,0,35,8307,6445,243,31,144
14830-317,F2,72,0,0,133,109994,70853,22575,6046,3485
14830-318,F2,105,0,0,2767,612644,44725,14296,8799,3844
14830-319,F2,54,0,0,630,138554,10423,26182,207,228
14830-320,F2,33,0,0,2143,316020,214096,24926,9906,4977
14830-321,F2,41,0,0,704,9657,74305,29673,1382,6986
14830-322,F2,31,0,0,515,184955,45385,19468,8211,6975
14830-323,F2,0,0,0,615,176092,28905,8685,5021,74
14830-324,F2,49,0,49,2062,596246,31552,116361,413,830
14830-325,F2,32,0,0,749,90263,122791,13852,4199,5407
14830-326,F2,50,0,0,813,161945,9152,1396,1838,627
14830-327,F2,40,0,0,41,3450,6041,232,41,397
14830-329,F2,34,0,0,89,547,3583,1075,769,248
14830-330,F2,120,0,0,846,129140,76120,18210,3896,2797
14830-331,F2,72,0,0,285,73581,10912,1305,293,312
14830-332,F2,166,31,0,2394,1474346,204321,84817,76877,32763
14830-333,F2,34,0,0,1163,271473,54744,40218,3617,1253
14830-334,F2,93,0,30,979,94959,142667,14102,3987,1345
14830-335,F2,0,0,0,1085,333423,120351,45660,15604,6886
14830-336,F2,74,0,0,274,4847,21071,13527,2405,440
14830-337,F2,35,0,38,2214,484819,176591,93424,19790,17115
14830-338,F2,54,0,0,652,326355,24076,545,2246,1021
14830-339,F2,114,0,0,345,431527,130301,15056,14852,14846
14830-340,F2,77,0,0,1068,108770,23717,4583,7512,5442
14830-341,F2,399,0,75,13694,431482,192010,76952,52548,32691
14830-343,F2,216,0,0,306,64614,26128,630,400,2188
14830-344,F2,29,0,40,460,394281,291440,22000,14146,10317
14830-345,F2,35,0,0,342,42075,16777,574,250,742
14830-346,F2,35,0,0,96,385511,8218,1879,36,54
14830-347,F2,87,0,0,876,64129,7537,1741,1484,397
14830-348,F2,38,0,0,1454,103810,24767,2185,1238,1012
14830-349,F2,55,0,0,2642,6224,45680,131529,283,438
14830-350,F2,194,0,0,608,6043,7413,2669,253,453
14830-351,F2,30,0,0,547,2857,11162,3889,39,460
14830-352,F2,87,0,0,510,737015,22985,189433,23,660
14830-353,F2,64,0,0,1388,240848,55665,13287,4748,4850
14830-354,F2,86,0,0,315,68144,78973,5538,1908,3737
14830-355,F2,0,0,0,224,36377,4854,256,96,160
14830-357,F2,80,0,0,755,23011,128935,3151,1789,190
14830-358,F2,33,0,70,8160,187771,192525,62860,12155,25838
14830-359,F2,52,37,37,7361,396318,181632,42261,40464,26311
14830-360,F2,38,0,0,588,109789,36115,5426,2271,1342
14830-361,F2,33,0,0,1706,252602,22684,51664,164,422
14830-362,F2,113,0,0,346,92645,29259,4151,6316,414
14830-363,F2,79,0,0,374,53943,19215,4358,1197,1132
14830-364,F2,131,0,0,695,89094,64259,9083,2046,2184
14830-365,F2,39,0,0,247,39448,57429,9278,324,304
14830-366,F2,106,0,32,4911,872058,129506,139709,50398,19267
14830-367,F2,78,0,147,1951,846140,118645,43392,35774,12310
14830-368,F2,381,38,146,3624,400343,96231,42894,14599,9479
14830-370,F2,191,34,88,6196,384581,127133,68810,23273,11582
14830-371,F2,55,0,0,948,425682,106555,16506,11044,6401
14830-372,F2,83,0,0,1810,86023,87066,17019,8863,3878
14830-373,F2,86,0,0,409,84962,128828,22617,3405,1712
14830-374,F2,139,0,0,261,10140,58960,468,51,509
14830-375,F2,160,0,30,1340,376470,212407,37222,23940,18291
14830-376,F2,121,0,549,7771,901234,2060549,217568,108231,171745
14830-377,F2,29,0,0,1028,77254,114177,17446,3707,2944
14830-378,F2,129,0,0,523,94911,66357,12890,729,8135
14830-379,F2,87,0,0,437,47963,44054,3874,1103,1361
14830-380,F2,50,0,0,1785,129639,133826,40368,10274,2774
14830-381,F2,236,0,55,1321,356826,151377,70560,27070,23001
14830-383,F2,106,0,36,634,193446,94102,55441,12138,9462
14830-384,F2,186,18,0,1533,142101,60246,20324,10394,4426
14830-385,F2,119,0,45,2545,318481,157549,30855,20396,14364
14830-386,F2,46,0,0,271,22305,25321,6163,1373,555
14830-387,F2,59,0,0,556,294822,217468,24358,2665,310
14830-388,F2,37,0,0,258,4158,17586,5533,1693,2254
14830-389,F2,206,0,0,1349,164292,80188,12092,5487,3740
14830-390,F2,30,0,63,3550,363062,535947,53954,23195,11700
14830-391,F2,37,0,34,1132,168805,176967,23487,21191,14872
14830-392,F2,135,0,0,54,40844,32417,5188,875,544
14830-393,F2,126,0,191,7985,385319,434425,83113,33761,18075
14830-394,F2,32,0,38,2211,228337,201133,34375,13819,14475
14830-396,F2,173,0,0,1510,423386,36844,11010,3898,1577
14830-397,F2,91,0,0,1554,8333,302188,35613,17180,17025
14830-398,F2,0,0,0,321,2608,32061,0,3548,1447
14830-399,F2,122,0,69,1735,193045,55059,37589,7441,5763
14830-400,F2,242,0,0,2281,888758,45276,426446,419,1355
14830-401,F2,42,0,0,1391,15860,144436,17870,10768,6765
14830-402,F2,78,0,0,810,215466,21413,4411,5595,2990
14830-403,F2,110,0,0,1994,108863,41066,54968,10892,9442
14830-404,F2,69,0,0,2595,2874,11391,4714,1446,1770
14830-405,F2,79,0,208,14711,522711,175523,48035,46059,28948
14830-406,F2,58,0,0,2029,56772,48239,6179,4988,0
14830-407,F2,78,0,2,7091,228085,85058,27970,3836,6640
14830-408,F2,32,0,92,15635,612131,217380,85102,32622,23416
14830-409,F2,62,35,38,509,235738,29621,12386,6205,4641
14830-410,F2,38,0,0,784,41354,11076,3762,276,241
14830-411,F2,114,0,0,1184,14823,4121,338,131,182
14830-412,F2,29,0,0,1930,3246,19272,52468,323,399
14830-413,F2,38,0,0,93,58418,17119,7859,3791,916
14830-414,F2,64,0,0,1021,307089,114143,29325,12773,2631
14830-415,F2,185,0,0,371,6650,34104,21366,7832,2963
14830-416,F2,30,0,0,832,303110,23886,16081,1771,4480
14830-417,F2,113,0,0,2545,235131,26159,6379,2280,3361
14830-418,F2,31,0,0,347,2043,7278,404,115,140
14830-419,F2,82,0,30,307,64300,10820,1116,1158,770
14830-420,F2,35,0,0,29,9563,5403,518,261,168
14830-421,F2,143,0,0,104,11479,10872,350,110,798
14830-422,F2,45,0,0,211,3646,67703,6389,5716,4403
14830-423,F2,118,0,30,7135,921858,333024,50281,37634,30226
14830-425,F2,109,31,0,108,60813,17059,2872,883,271
14830-427,F2,0,0,0,875,82422,26293,10280,1216,2323
14830-428,F2,97,0,0,542,138978,41261,33236,10375,5452
14830-429,F2,34,0,0,482,158430,26640,2643,4377,1888
14830-430,F2,65,0,0,81,8066,1238,1136,51,569
14830-431,F2,51,0,0,231,42644,10556,4933,159,742
14830-432,F2,40,0,0,61,39527,14508,2240,941,857
14830-433,F2,45,0,0,1132,37194,12659,17099,103,355
14830-434,F2,36,0,30,9289,569806,78511,527100,20,455
14830-435,F2,126,0,45,842,212885,25883,14372,5037,1122
14830-436,F2,29,0,0,293,45053,14407,2039,1274,1737
14830-437,F2,49,0,0,2686,317282,25879,31781,16250,8673
14830-438,F2,0,0,0,337,261159,8894,4784,4470,1618
14830-439,F2,42,0,0,942,209729,85826,16134,8199,2846
14830-440,F2,34,0,28,2189,209666,182407,32367,15035,15186
14830-441,F2,35,0,0,334,191669,17516,9960,1918,2166
14830-443,F2,80826,177,1380549,5207485,626703,63371,64125,17969,7381
14830-444,F2,7437,11654,620581,1746317,19954,78841,21859,11634,8835
14830-445,F2,315,197,8121,5949,26966,2502,166,29,86
14830-446,F2,95,0,28,979,58049,11091,4024,246,553
14830-447,F2,39,0,64,112,46394,4001,65,0,59
14830-448,F2,38,0,0,1024,29266,7124,1323,79,642
14830-449,F2,89,0,0,532,56255,8640,2701,747,1485
14830-450,F2,25,0,0,1011,3138,67360,16967,4592,6375
14830-451,F2,67,0,0,625,213514,44713,20873,1555,2869
C11,PI127826,126,0,0,2258,121095,132595,10170,16011,3083
C14,PI127826,105,0,323,50768,644954,142480,10469,30162,5187
C2,PI127826,268,375,2299,44792,962857,618925,41194,40731,13192
C5,PI127826,1083,1274,2573,72481,870301,853956,40536,62832,17159
C8,PI127826,39,46,34,6908,266982,602541,28453,16936,4057
C1,S. lycopersicum,56072,89025,451050,2489052,1570,6530,80,0,38
C10,S. lycopersicum,91,308,2097,19184,4819,23733,6334,877,42
C13,S. lycopersicum,2767,8924,81099,438313,12159,39346,5757,639,42
C4,S. lycopersicum,24969,156315,542933,3377978,8087,136646,205,89,2285
C7,S. lycopersicum,1442,3514,31397,188759,28582,177665,3532,4817,2005
