sample,genotype,group,replicate,plate,emission
133,133,F2,1,2,479621.5
132,132,F2,1,2,822219.5
131,131,F2,1,2,496363.5
130,130,F2,1,2,370890.5
129,129,F2,1,2,797087.5
128,128,F2,1,2,879152
127.2,127,F2,2,3,1123632.25
127,127,F2,1,2,1008318
126,126,F2,1,2,587449.5
125,125,F2,1,2,889298.5
124,124,F2,1,2,930933.5
122,122,F2,1,2,1362479
121,121,F2,1,2,1065596
120,120,F2,1,2,818769
119,119,F2,1,2,690129.5
118.2,118,F2,2,3,1366230.75
118,118,F2,1,2,1329575
117,117,F2,1,2,949551
116,116,F2,1,2,329589.5
115,115,F2,1,2,357694.5
114,114,F2,1,2,345883
113,113,F2,1,2,568772
112,112,F2,1,2,599161.5
111,111,F2,1,2,523938
110,110,F2,1,2,845470
109.2,109,F2,2,3,858884.25
109,109,F2,1,2,701506
108,108,F2,1,2,537683
107,107,F2,1,2,583048.5
106,106,F2,1,2,745133.5
105.2,105,F2,2,3,1017315.25
105,105,F2,1,2,1103464
104.2,104,F2,2,3,563346.75
104,104,F2,1,2,312962.5
103.2,103,F2,2,3,677329.25
103,103,F2,1,2,1003091
102.2,102,F2,2,3,719149.75
102,102,F2,1,2,815950.5
101,101,F2,1,2,552789.5
100,100,F2,1,3,269357.75
99,99,F2,1,3,1103352.25
98,98,F2,1,3,752180.75
96,96,F2,1,3,590726.25
95,95,F2,1,3,763394.25
94,94,F2,1,3,1167217.75
93,93,F2,1,3,594046.25
92,92,F2,1,3,427454.75
91,91,F2,1,3,1316859.75
90,90,F2,1,3,544741.25
89,89,F2,1,3,380729.25
88,88,F2,1,3,242313.75
87,87,F2,1,3,1030708.75
86,86,F2,1,3,1031912.25
85,85,F2,1,3,530125.75
84,84,F2,1,3,772442.75
83,83,F2,1,3,350713.25
82,82,F2,1,3,661127.25
81,81,F2,1,3,560059.25
80,80,F2,1,3,774486.25
78,78,F2,1,3,913235.75
77,77,F2,1,3,940566.25
76,76,F2,1,3,691048.25
74,74,F2,1,3,316789.75
73,73,F2,1,3,591999.75
72,72,F2,1,3,692654.25
71,71,F2,1,3,677099.25
70,70,F2,1,3,1113742.75
69,69,F2,1,3,435810.75
68,68,F2,1,3,581893.25
67,67,F2,1,3,806438.75
66,66,F2,1,3,1117812.25
64,64,F2,1,3,615133.75
63,63,F2,1,3,254958.25
62,62,F2,1,3,752143.75
61,61,F2,1,3,773759.75
60,60,F2,1,4,1683899
59,59,F2,1,4,697247.5
58,58,F2,1,4,794452
57,57,F2,1,4,1037691
56,56,F2,1,4,919360.5
55,55,F2,1,4,1132216.5
54,54,F2,1,4,895388.5
53,53,F2,1,4,1979610
52,52,F2,1,4,1852411
51,51,F2,1,4,2087454.5
50,50,F2,1,4,370796.5
49,49,F2,1,4,1233125.5
48,48,F2,1,4,1294218.5
47,47,F2,1,4,590697
46,46,F2,1,4,1189537
45,45,F2,1,4,1207294.5
44,44,F2,1,4,2153158.5
43,43,F2,1,4,1051601
42,42,F2,1,4,992363
41,41,F2,1,4,357417.5
40,40,F2,1,4,3486221.5
38,38,F2,1,4,594644
37,37,F2,1,4,250581.5
36,36,F2,1,4,681959
35,35,F2,1,4,2269395.5
34,34,F2,1,4,1063450
33,33,F2,1,4,235373.5
32,32,F2,1,4,310490.5
31,31,F2,1,4,1057506.5
30,30,F2,1,4,1200388.5
29,29,F2,1,4,682188.5
28,28,F2,1,4,1177725.5
27,27,F2,1,4,637406.5
26,26,F2,1,4,379849.5
25,25,F2,1,4,974227
24,24,F2,1,4,836850.5
23,23,F2,1,4,1376557
22,22,F2,1,4,1617610
21,21,F2,1,4,1513825.5
20,20,F2,1,4,696635.5
19,19,F2,1,4,808350.5
18,18,F2,1,4,894547
17,17,F2,1,4,1607083.5
16,16,F2,1,4,1560262
15,15,F2,1,4,1631798.5
14,14,F2,1,4,1370849.5
12,12,F2,1,8,219816.5
10,10,F2,1,3,462469.75
