Geneid	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15
Solyc04g015100	7239.76010159657	10191.2664872514	8226.27701965939	15817.8575520729	6618.80954486708	6650.10729212392	6293.7920664109	7810.60069579433	8997.64964109696	6075.16014773339
Solyc04g056390	25012.4253391264	30807.7124189324	22388.7426208912	45913.8685573272	20376.9550067972	116060.869718483	109827.165577086	90005.7681596066	106618.029646593	84386.054175641
Solyc05g017760	2268.10604472312	3481.17518623934	2669.62206378557	2602.06403658808	2061.44968036326	9983.29349427338	6957.75254814216	7553.47295607437	8756.50260281893	8113.45838266036
Solyc05g055760	2924.03273190543	2816.12854328189	2579.83097599708	3506.50560516766	2959.97734665386	3125.22512505474	2225.05804294464	4480.84254666101	4464.80159980133	3951.47488595963
Solyc06g066310	81.6837541154007	165.115028596333	54.0409324652949	200.987015239907	280.91899451844	6688.44648510786	4436.28357585321	2914.11438349282	5126.16525923715	3992.05485911454
Solyc07g045350	1331.50660843751	843.921257270144	727.889790359472	1126.96290688091	1182.20076859844	28197.8955428266	18004.9878848047	25148.7518332549	23878.3319784027	26283.9867788799
Solyc08g005050	43687.9110168791	36284.0275340441	45884.4929583599	70705.2579817853	49373.578867458	43741.5338134985	36054.437409011	28872.035232784	33662.6939869513	29693.54994
Solyc08g005680	4756.08264563656	26202.8377325235	4451.31003721829	49371.9219356066	2832.59986139427	404354.174051832	368202.644467936	327163.253427978	319759.778959462	361609.831615642
Solyc08g007790	682.335720467746	380.681871485989	191.637460511546	417.227509314986	488.854132617874	97.5906730500365	8.89232788032937	57.1394977155455	208.914513359688	28.7441476513965
Solyc08g066950	891.765496056856	798.05597154894	645.996992700525	1476.89565662896	789.05188166209	938.729331243209	531.563599957467	414.722160838637	679.270617723786	648.43415437121
Solyc08g075390	2183.96563634861	2495.07154323347	2018.63667731901	3687.75282426794	1830.10462605396	3055.51750144757	3470.9719826219	1703.125673844	2372.07507454686	2436.48922150955
Solyc08g076140	1279.9168689962	926.47877156831	1069.17906385183	2425.30313479227	1330.2340622785	1109.51300908077	1218.24891960512	1092.10169020841	2105.85829466566	1495.54109398001
Solyc08g080170	7524.73199565331	12906.4914019467	8102.81427395021	16808.4364128981	6454.94013139799	36949.6876867067	28745.9319278114	26982.7453889636	33838.1821781735	29760.3378124841
Solyc08g081570	5685.92628270962	7719.12758687854	7105.13552074477	13938.0906015032	5594.28144721159	19278.8051022894	15969.6328366404	14555.8262406343	19667.8091862906	13328.830349174
Solyc10g086250	711.201408012286	229.326428606017	510.063262576283	148.945734508145	966.691834078163	188.210583739356	81.0189873541121	82.9444321677274	112.216938604632	108.213261746434
Solyc11g007020	4248.16937756561	4797.50888643788	3027.95501597852	5727.23267087646	3296.66702390758	23198.6971364658	18039.5691598949	14277.5015904715	18856.0270772358	17812.9173827919
Solyc11g010850	62102.9913431661	111773.701302573	71547.2846876869	148279.067756702	57757.0829783808	220112.277683177	204686.567258715	174915.983369709	192029.445491348	175045.095868146
Solyc11g069380	68479.2374726856	110659.174859548	87853.5125098689	137062.377232086	52938.0828738843	199848.271500573	177926.58855751	143819.194145226	175837.973807363	159525.792384714
Solyc12g015860	3910.9935805028	9801.41155862118	4659.57547694992	14932.258516172	3556.93021000555	12400.9862397154	11908.8031046233	12171.6346182131	11655.0422510322	9017.20820146457
Solyc12g056450	423.77285969644	192.634200029055	501.333573485735	229.699445988465	425.509653461755	316.007893685833	136.349027498384	245.146877295728	145.643260742183	265.460657721721
Solyc12g099900	3661.02900963837	4591.11510069247	4501.60967435906	3941.6783837005	3720.79962347464	10355.0674868449	9416.97522526881	6097.33736912983	7449.29464779688	5556.92007390086
